"subid"	"verb"	"noun"	"dir"	"big"	"small"
"104"	"anon-132.json"	"are"	"hippo"	"na"	3	3
"105"	"anon-132.json"	"are"	"house"	"na"	3	4
"106"	"anon-132.json"	"are"	"monkey"	"na"	4	3
"107"	"anon-132.json"	"are"	"plane"	"na"	2	NA
"108"	"anon-132.json"	"are"	"umbrella"	"na"	NA	4
"109"	"anon-136.json"	"are"	"baby"	"na"	3	2
"110"	"anon-136.json"	"are"	"balloon"	"na"	3	3
"111"	"anon-136.json"	"are"	"bunny"	"na"	3	3
"112"	"anon-136.json"	"are"	"cake"	"na"	3	3
"113"	"anon-136.json"	"are"	"duckling"	"na"	2	2
"114"	"anon-136.json"	"are"	"elephant"	"na"	3	3
"115"	"anon-136.json"	"are"	"gnome"	"na"	2	3
"116"	"anon-136.json"	"are"	"hippo"	"na"	2	3
"117"	"anon-136.json"	"are"	"house"	"na"	3	3
"118"	"anon-136.json"	"are"	"monkey"	"na"	3	2
"119"	"anon-136.json"	"are"	"plane"	"na"	3	3
"120"	"anon-136.json"	"are"	"umbrella"	"na"	2	3
"121"	"anon-139.json"	"are"	"baby"	"na"	2	2
"122"	"anon-139.json"	"are"	"balloon"	"na"	2	2
"123"	"anon-139.json"	"are"	"bunny"	"na"	1	2
"124"	"anon-139.json"	"are"	"cake"	"na"	2	2
"125"	"anon-139.json"	"are"	"duckling"	"na"	2	2
"126"	"anon-139.json"	"are"	"elephant"	"na"	1	2
"127"	"anon-139.json"	"are"	"gnome"	"na"	2	2
"128"	"anon-139.json"	"are"	"hippo"	"na"	2	2
"129"	"anon-139.json"	"are"	"house"	"na"	2	2
"130"	"anon-139.json"	"are"	"monkey"	"na"	2	2
"131"	"anon-139.json"	"are"	"plane"	"na"	1	2
"132"	"anon-139.json"	"are"	"umbrella"	"na"	2	2
"133"	"anon-143.json"	"are"	"baby"	"na"	1	3
"134"	"anon-143.json"	"are"	"balloon"	"na"	2	2
"135"	"anon-143.json"	"are"	"bunny"	"na"	1	2
"136"	"anon-143.json"	"are"	"cake"	"na"	1	3
"137"	"anon-143.json"	"are"	"duckling"	"na"	3	2
"138"	"anon-143.json"	"are"	"elephant"	"na"	2	2
"139"	"anon-143.json"	"are"	"gnome"	"na"	1	2
"140"	"anon-143.json"	"are"	"hippo"	"na"	2	3
"141"	"anon-143.json"	"are"	"house"	"na"	2	2
"142"	"anon-143.json"	"are"	"monkey"	"na"	2	2
"143"	"anon-143.json"	"are"	"plane"	"na"	2	3
"144"	"anon-143.json"	"are"	"umbrella"	"na"	2	3
"145"	"anon-147.json"	"are"	"baby"	"na"	2	4
"146"	"anon-147.json"	"are"	"balloon"	"na"	2	2
"147"	"anon-147.json"	"are"	"bunny"	"na"	4	4
