"subid"	"verb"	"noun"	"dir"	"big"	"small"
"104"	"anon-115.json"	"are"	"ladybug"	"na"	3	2
"105"	"anon-115.json"	"are"	"pill"	"na"	3	2
"106"	"anon-115.json"	"are"	"pin"	"na"	3	2
"107"	"anon-115.json"	"are"	"seed"	"na"	2	2
"108"	"anon-115.json"	"are"	"tack"	"na"	3	2
"109"	"anon-123.json"	"are"	"ant"	"na"	3	3
"110"	"anon-123.json"	"are"	"bean"	"na"	3	2
"111"	"anon-123.json"	"are"	"blueberry"	"na"	3	3
"112"	"anon-123.json"	"are"	"candy"	"na"	3	2
"113"	"anon-123.json"	"are"	"earring"	"na"	3	2
"114"	"anon-123.json"	"are"	"fly"	"na"	4	2
"115"	"anon-123.json"	"are"	"hazelnut"	"na"	3	3
"116"	"anon-123.json"	"are"	"ladybug"	"na"	4	2
"117"	"anon-123.json"	"are"	"pill"	"na"	5	2
"118"	"anon-123.json"	"are"	"pin"	"na"	4	2
"119"	"anon-123.json"	"are"	"seed"	"na"	3	2
"120"	"anon-123.json"	"are"	"tack"	"na"	4	2
"121"	"anon-124.json"	"are"	"ant"	"na"	5	2
"122"	"anon-124.json"	"are"	"bean"	"na"	5	2
"123"	"anon-124.json"	"are"	"blueberry"	"na"	4	2
"124"	"anon-124.json"	"are"	"candy"	"na"	4	3
"125"	"anon-124.json"	"are"	"earring"	"na"	5	2
"126"	"anon-124.json"	"are"	"fly"	"na"	5	2
"127"	"anon-124.json"	"are"	"hazelnut"	"na"	3	3
"128"	"anon-124.json"	"are"	"ladybug"	"na"	4	2
"129"	"anon-124.json"	"are"	"pill"	"na"	5	2
"130"	"anon-124.json"	"are"	"pin"	"na"	5	2
"131"	"anon-124.json"	"are"	"seed"	"na"	3	2
"132"	"anon-124.json"	"are"	"tack"	"na"	4	3
"133"	"anon-129.json"	"are"	"ant"	"na"	3	2
"134"	"anon-129.json"	"are"	"bean"	"na"	3	2
"135"	"anon-129.json"	"are"	"blueberry"	"na"	4	2
"136"	"anon-129.json"	"are"	"candy"	"na"	3	3
"137"	"anon-129.json"	"are"	"earring"	"na"	4	2
"138"	"anon-129.json"	"are"	"fly"	"na"	3	3
"139"	"anon-129.json"	"are"	"hazelnut"	"na"	3	3
"140"	"anon-129.json"	"are"	"ladybug"	"na"	3	3
"141"	"anon-129.json"	"are"	"pill"	"na"	4	2
"142"	"anon-129.json"	"are"	"pin"	"na"	3	2
"143"	"anon-129.json"	"are"	"seed"	"na"	3	2
"144"	"anon-129.json"	"are"	"tack"	"na"	3	2
"145"	"anon-13.json"	"are"	"ant"	"na"	3	2
"146"	"anon-13.json"	"are"	"bean"	"na"	2	2
"147"	"anon-13.json"	"are"	"blueberry"	"na"	3	2
"148"	"anon-13.json"	"are"	"candy"	"na"	2	3
"149"	"anon-13.json"	"are"	"earring"	"na"	2	2
"150"	"anon-13.json"	"are"	"fly"	"na"	3	3
"151"	"anon-13.json"	"are"	"hazelnut"	"na"	2	2
"152"	"anon-13.json"	"are"	"ladybug"	"na"	2	3
"153"	"anon-13.json"	"are"	"pill"	"na"	2	2
"154"	"anon-13.json"	"are"	"pin"	"na"	3	2
"155"	"anon-13.json"	"are"	"seed"	"na"	3	2
"156"	"anon-13.json"	"are"	"tack"	"na"	3	2
"157"	"anon-131.json"	"are"	"ant"	"na"	2	1
"158"	"anon-131.json"	"are"	"bean"	"na"	2	1
